Elapsed time,BookFlight,Cancel Booking,List Bookings,Login,QueryFlight,Update Customer,View Profile Information,logout
11:55:43.0,,,,1443.0,,,,
11:55:44.500,,,,,270.6,,,
11:55:45.0,176.0,,,,,,,
11:55:45.500,,,659.0,,,,,89.0
11:55:46.0,13.0,,9.0,140.0,33.6,,,7.0
11:55:46.500,,,,,,,186.0,
11:55:47.0,,,,,25.0,712.0,,
11:55:47.500,48.0,,12.5,12.0,63.0,,,7.5
11:55:48.0,84.0,,12.5,9.0,16.444444444444443,24.0,11.0,30.0
11:55:48.500,12.0,,8.5,7.0,45.7,,,7.0
11:55:49.0,27.0,,8.5,6.333333333333333,17.083333333333332,144.0,9.0,5.666666666666667
11:55:49.500,13.333333333333334,,11.0,14.333333333333334,20.666666666666668,,,9.0
11:55:50.0,13.0,,7.0,6.0,56.0,10.0,6.0,5.0
11:55:50.500,25.333333333333332,,10.333333333333334,13.666666666666666,18.333333333333332,,,10.0
11:55:51.0,21.666666666666668,,56.0,6.0,15.692307692307695,7.0,6.0,5.666666666666667
11:55:51.500,10.666666666666666,,8.0,9.0,19.357142857142858,12.0,10.0,7.0
11:55:52.0,14.5,,6.666666666666667,9.0,22.5,6.0,6.0,5.333333333333333
11:55:52.500,14.5,,9.333333333333334,10.0,16.2,,,84.66666666666667
11:55:53.0,7.0,,5.5,7.0,15.142857142857142,7.0,6.0,11.0
11:55:53.500,7.25,,9.5,7.25,28.5,10.0,18.0,6.75
11:55:54.0,6.5,,73.33333333333333,6.666666666666667,11.470588235294118,7.0,9.0,6.0
11:55:54.500,8.0,,6.75,6.666666666666667,13.6875,,,16.333333333333332
11:55:55.0,10.75,,7.0,6.8,10.9,10.0,9.0,51.8
11:55:55.500,103.0,,11.5,11.0,14.846153846153847,6.0,6.0,11.0
11:55:56.0,9.25,,7.5,8.25,19.647058823529413,14.0,10.0,6.5
11:55:56.500,11.25,,6.5,5.0,12.9,6.0,5.0,5.25
11:55:57.0,7.75,,7.0,7.0,17.399999999999995,8.0,12.0,4.5
11:55:57.500,9.0,,10.25,61.0,13.0,12.0,7.0,5.333333333333333
11:55:58.0,46.666666666666664,,10.666666666666666,6.5,13.470588235294118,6.0,14.0,5.75
11:55:58.500,8.333333333333334,,8.0,4.333333333333333,23.352941176470587,9.0,5.0,4.0
11:55:59.0,11.0,,10.5,8.666666666666666,15.8125,,,7.25
11:55:59.500,13.0,,13.0,39.5,14.789473684210526,12.0,17.0,9.666666666666666
11:56:00.0,16.0,91.0,5.333333333333333,7.0,12.090909090909092,9.0,8.0,27.0
11:56:00.500,8.0,7.5,9.0,7.25,13.619047619047619,9.0,7.0,6.75
11:56:01.0,13.333333333333334,9.0,21.0,14.0,26.428571428571427,6.0,9.0,5.0
11:56:01.500,78.66666666666667,,5.5,5.333333333333333,12.4,,,11.0
11:56:02.0,9.75,,8.6,6.0,13.714285714285714,7.0,6.5,5.6
11:56:02.500,9.5,,7.0,6.5,19.526315789473685,,,5.0
11:56:03.0,10.25,,5.5,6.5,15.590909090909092,5.5,12.0,4.75
11:56:03.500,7.25,,6.0,6.5,16.571428571428573,8.0,12.0,5.5
11:56:04.0,7.0,,5.75,8.5,22.41176470588235,,,5.75
11:56:04.500,30.5,,5.5,4.75,11.727272727272727,6.5,6.5,4.25
11:56:05.0,9.25,,6.75,5.25,15.619047619047619,5.0,5.0,7.0
11:56:05.500,7.2,5.5,6.166666666666667,4.833333333333333,11.3125,5.0,5.0,4.333333333333333
11:56:06.0,7.0,,6.0,6.0,12.28,6.5,6.0,4.666666666666667
11:56:06.500,7.4,5.0,5.2,5.6,11.172413793103448,9.0,5.0,4.8
